"DEPARTAMENTO","CARGO","MEDIA_SALARIAL"
"Executive","President",24000
"Executive","Administration Vice President",17000
"Marketing","Marketing Manager",13000
"Sales","Sales Manager",12200
"Finance","Finance Manager",12008
"Accounting","Accounting Manager",12008
"Purchasing","Purchasing Manager",11000
"Public Relations","Public Relations Representative",10000
"Sales","Sales Representative",8396.55
"Accounting","Public Accountant",8300
"Finance","Accountant",7920
"Shipping","Stock Manager",7280
,"Sales Representative",7000
"Human Resources","Human Resources Representative",6500
"Marketing","Marketing Representative",6000
"IT","Programmer",5760
"Administration","Administration Assistant",4400
"Shipping","Shipping Clerk",3215
"Shipping","Stock Clerk",2785
"Purchasing","Purchasing Clerk",2780
